Unnamed: 0,GOODS_NM,goods_kor,Column1
체스트튜브 (Thoracic Catheter) -PVC,5,체스트튜브  ,  
유리주사기(glasssyringe),5,유리주사기,사기
로바스타정,5,로바스타정,타정
쓰리웨이 (3-Way Stopcock),5,쓰리웨이 ,이 
아타칸정(칸데사르탄실렉세틸),5,아타칸정,칸정
트라케오스토미튜브,5,트라케오스토미튜브,튜브
나노니들(주사침JBPNanoneedle),5,나노니들,니들
조코정(심바스타틴),5,조코정,코정
스피틴정,5,스피틴정,틴정
자동현상액,5,자동현상액,상액
최강전사 미니특공대 키즈비타씨(복숭아맛),5,최강전사 미니특공대 키즈비타씨,타씨
레보바이정(병),5,레보바이정,이정
라비시틴정(라모트리진),5,라비시틴정,틴정
옥시크로린정,5,옥시크로린정,린정
O.S.바지 환자복,5,바지 환자복,자복
보그메트정(병),5,보그메트정,트정
부항컵(대건),5,부항컵,항컵
아시클로버정(병),5,아시클로버정,버정
아세클로페낙정,5,아세클로페낙정,낙정
올메사탄정(병),5,올메사탄정,탄정
밴드골드 코바(자가 점착 붕대),5,밴드골드 코바,코바
PP 투약병 (이중마개),5, 투약병 ,병 
쿠에타핀서방정,5,쿠에타핀서방정,방정
안전컵 이중마개 반투명투약병(PP) ,5,안전컵 이중마개 반투명투약병 ,병 
건치 스무스픽,5,건치 스무스픽,스픽
수술용글러브 Powdered 탑글러브(TOPGLOVE) 멸균 ,5,수술용글러브  탑글러브 멸균 ,균 
VOM_O (HA필러)_봄,5, 봄, 봄
수액셋트 (IV Set),5,수액셋트 ,트 
쿨앤핫팩(냉온찜질팩),5,쿨앤핫팩,핫팩
대일제약 면 반창고,5,대일제약 면 반창고,창고
기분좋은날 치간브러쉬(I자형),5,기분좋은날 치간브러쉬,러쉬
약사가운 20수(T/C) 긴팔(여),5,약사가운 수 긴팔,긴팔
리스페달정(리스페리돈),5,리스페달정,달정
텔미스플러스정,5,텔미스플러스정,스정
휴텍스라니티딘정,5,휴텍스라니티딘정,딘정
PET 투약병 (이중마개),5, 투약병 ,병 
케프라엑스알서방정,5,케프라엑스알서방정,방정
아마릴정,5,아마릴정,릴정
한림일회용침(스프링형),5,한림일회용침,용침
쿠에타핀정,5,쿠에타핀정,핀정
닥터헬퍼 프리미엄 허리보호대,5,닥터헬퍼 프리미엄 허리보호대,호대
덴탈프로 치간칫솔(I자형) 3호,5,덴탈프로 치간칫솔 호, 호
기구포(광목/5매포장),5,기구포,구포
약사가운30수(T/C)반팔(남),5,약사가운수반팔,반팔
아리셉트정(병),5,아리셉트정,트정
바이크릴,5,바이크릴,크릴
캐스트(알토캐스트),5,캐스트,스트
메디픽스(카테타밴드/Medi-fix) ,5,메디픽스 ,스 
라푸티딘정(병),5,라푸티딘정,딘정
PP 시럽병(이중마개),5, 시럽병,럽병
리트모놈SR서방캡슐,5,리트모놈서방캡슐,캡슐
디오디핀정,5,디오디핀정,핀정
여명808,5,여명,여명
GR 스프린트,5, 스프린트,린트
로수바스타틴정(PTP),5,로수바스타틴정,틴정
나사라 키네시올로지테이프(레드),5,나사라 키네시올로지테이프,이프
토피렌정,5,토피렌정,렌정
포셉 MICRO EAR FORCEP ,5,포셉    ,  
레이디버그 키즈비타씨(복숭아맛),5,레이디버그 키즈비타씨,타씨
미라프서방정,5,미라프서방정,방정
수술용장갑(Surgical Glove) 멸균글러브 라텍스 iNtouch F,5,수술용장갑 멸균글러브 라텍스  ,  
프라펙솔정,5,프라펙솔정,솔정
닥터체크 밴드형 무릎보호대,5,닥터체크 밴드형 무릎보호대,호대
외과가위 STANDARD OPERATING SCISSOR ,5,외과가위    ,  
알지겐액,5,알지겐액,겐액
프로막정,5,프로막정,막정
라바 비타민C플러스D(복숭아맛/건강기능식품),5,라바 비타민플러스,러스
그린포비돈스틱스왑,5,그린포비돈스틱스왑,스왑
부광 일회용주사기,5,부광 일회용주사기,사기
유기농 본 면생리대(울트라/날개/소형),5,유기농 본 면생리대,리대
드레싱핀셋 (Dressing Forcep) 무구 P.K.,5,드레싱핀셋  무구 ,구 
